fold,accuracy,sensitivity,specificity,precision,f1,auc
1,0.8518518518518519,0.6896551724137931,0.9423076923076923,0.8695652173913043,0.7692307692307693,0.9111405835543765
2,0.8888888888888888,0.8857142857142857,0.8913043478260869,0.8611111111111112,0.8732394366197183,0.9565217391304347
3,0.7901234567901234,0.8275862068965517,0.7692307692307693,0.6666666666666666,0.7384615384615385,0.9336870026525199
4,0.8148148148148148,0.7560975609756098,0.875,0.8611111111111112,0.8051948051948052,0.8698170731707318
5,0.8271604938271605,0.6060606060606061,0.9791666666666666,0.9523809523809523,0.7407407407407407,0.8869949494949495
